 migration_id |            migration_name            |          executed_at          
           39 | 025_add_device_pairing_system.sql    | 2025-10-22 00:11:45.367588-04
           40 | 025_model_usage_tracking.sql         | 2025-10-22 00:11:45.406091-04
           41 | 026_add_training_tasks_system.sql    | 2025-10-22 00:11:45.417324-04
           42 | 026_bucket_system.sql                | 2025-10-22 00:11:45.452981-04
           43 | 027_add_account_warming_system.sql   | 2025-10-22 00:11:45.455269-04
           44 | 027_request_lifecycle.sql            | 2025-10-22 00:11:45.472763-04
           45 | 028_add_experiments_system.sql       | 2025-10-22 00:11:45.504773-04
           46 | 029_calos_platform_api_keys.sql      | 2025-10-22 00:11:45.511863-04
           47 | 030_credits_system.sql               | 2025-10-22 00:11:45.522817-04
           48 | 030_model_benchmarks.sql             | 2025-10-22 00:11:45.551115-04
           49 | 031_bucket_artifacts.sql             | 2025-10-22 00:11:45.61064-04
           50 | 031_documentation_registry.sql       | 2025-10-22 00:11:45.664849-04
           51 | 032_domain_code_library.sql          | 2025-10-22 00:11:45.692072-04
           52 | 032_vanity_handles.sql               | 2025-10-22 00:11:45.694417-04
           53 | 033_context_airlock.sql              | 2025-10-22 00:11:45.720202-04
           54 | 033_encryption_paths.sql             | 2025-10-22 00:11:45.727152-04
           55 | 034_domain_parameters.sql            | 2025-10-22 00:11:45.754671-04
           56 | 034_telegram_bot.sql                 | 2025-10-22 00:11:45.764727-04
           57 | 035_voucher_system.sql               | 2025-10-22 00:11:45.775513-04
           58 | 035_workflows_system.sql             | 2025-10-22 00:11:45.784523-04
           59 | 036_affiliate_system.sql             | 2025-10-22 00:11:45.795722-04
           60 | 036_automated_flows.sql              | 2025-10-22 00:11:45.821556-04
           61 | 036_feature_gates.sql                | 2025-10-22 00:11:45.828793-04
           62 | 037_component_relationships.sql      | 2025-10-22 00:11:45.838043-04
           63 | 037_identity_resolution.sql          | 2025-10-22 00:11:45.841853-04
           64 | 037_mailbox_system.sql               | 2025-10-22 00:11:45.846761-04
           65 | 038_app_store.sql                    | 2025-10-22 00:11:45.938326-04
           66 | 039_asset_system.sql                 | 2025-10-22 00:11:45.964464-04
           67 | 040_fix_oauth_providers.sql          | 2025-10-22 00:11:46.001949-04
           68 | 040_session_analytics.sql            | 2025-10-22 00:11:46.029538-04
           69 | 041_add_bounce_tracking.sql          | 2025-10-22 00:11:46.040406-04
           70 | 041_dependency_vendoring.sql         | 2025-10-22 00:11:46.080376-04
           71 | 042_model_discovery_system.sql       | 2025-10-22 00:11:46.095256-04
           72 | 043_user_tiers_quotas.sql            | 2025-10-22 00:11:46.105048-04
           73 | 060_accessibility_preferences.sql    | 2025-10-22 00:11:46.113462-04
           74 | 061_recruiting_integration.sql       | 2025-10-22 00:11:46.12819-04
           75 | 062_relationship_graph.sql           | 2025-10-22 00:11:46.135279-04
           76 | 063_family_tree_and_spheres.sql      | 2025-10-22 00:11:46.142183-04
          410 | 064_guardian_bug_reports.sql         | 2025-10-22 10:16:11.355355-04
          411 | 065_guardian_patch_applications.sql  | 2025-10-22 10:16:11.36021-04
          518 | 006-submissions-grading.sql          | 2025-10-22 11:50:11.29108-04
          519 | 007-compaction-results.sql           | 2025-10-22 11:50:11.313553-04
          522 | 010_agent_activity_log.sql           | 2025-10-22 11:50:11.375133-04
          526 | 011_vault_bridge.sql                 | 2025-10-22 11:50:11.399171-04
          528 | 012_model_pricing.sql                | 2025-10-22 11:50:11.414224-04
          531 | 013_usage_events.sql                 | 2025-10-22 11:50:11.432702-04
          534 | 014_knowledge_graph.sql              | 2025-10-22 11:50:11.462904-04
          536 | 015_row_level_security.sql           | 2025-10-22 11:50:11.471089-04
          537 | 016_multi_provider_tracking.sql      | 2025-10-22 11:50:11.472709-04
          540 | 017_project_context.sql              | 2025-10-22 11:50:11.502999-04
          541 | 018_voice_usage_tracking.sql         | 2025-10-22 11:50:11.504587-04
          542 | 019_service_credentials.sql          | 2025-10-22 11:50:11.511193-04
          543 | 020_learning_platform.sql            | 2025-10-22 11:50:11.512213-04
          546 | 021_add_data_literacy_features.sql   | 2025-10-22 11:50:11.549846-04
          566 | 040_agent_wallets.sql                | 2025-10-22 11:50:11.674074-04
          568 | 041_remove_cookie_tracking.sql       | 2025-10-22 11:50:11.71726-04
          570 | 050_translation_cache.sql            | 2025-10-22 11:50:11.733514-04
          571 | 053_virtual_filesystem.sql           | 2025-10-22 11:50:11.745159-04
          572 | 054_sprite_system.sql                | 2025-10-22 11:50:11.760072-04
          573 | 055_content_curation.sql             | 2025-10-22 11:50:11.771491-04
          574 | 055_user_playstyles_and_tracking.sql | 2025-10-22 11:50:11.784972-04
          575 | 056_content_forum.sql                | 2025-10-22 11:50:11.798822-04
          576 | 056_decision_tracking.sql            | 2025-10-22 11:50:11.868975-04
          577 | 057_author_workflow.sql              | 2025-10-22 11:50:11.873193-04
          578 | 057_marketplace_reputation.sql       | 2025-10-22 11:50:11.900428-04
          579 | 058_federation.sql                   | 2025-10-22 11:50:11.908251-04
          580 | 058_idea_growth_tracking.sql         | 2025-10-22 11:50:11.919199-04
          581 | 059_builder_case_studies.sql         | 2025-10-22 11:50:11.923111-04
          582 | 059_community_graph.sql              | 2025-10-22 11:50:11.939176-04
          584 | 060_ai_cost_analytics.sql            | 2025-10-22 11:50:11.950752-04
          585 | 060_gmail_webhooks.sql               | 2025-10-22 11:50:11.960947-04
          586 | 061_add_context_token_tracking.sql   | 2025-10-22 11:50:11.962055-04
          587 | 061_documentation_tracking.sql       | 2025-10-22 11:50:11.988441-04
          589 | 062_price_audit_log.sql              | 2025-10-22 11:50:11.996909-04
          591 | 063_arbitrage_detection.sql          | 2025-10-22 11:50:12.00506-04
          593 | 064_correlation_tracking.sql         | 2025-10-22 11:50:12.014338-04
          594 | 065_fix_timestamps.sql               | 2025-10-22 11:50:12.015495-04
          595 | 066_add_icon_emoji.sql               | 2025-10-22 11:50:12.018123-04
          596 | 066_ai_conversations.sql             | 2025-10-22 11:50:12.020008-04
          597 | 066_sharding_and_events.sql          | 2025-10-22 11:50:12.030319-04
          598 | 067_knowledge_patterns.sql           | 2025-10-22 11:50:12.034229-04
          599 | 068_knowledge_integration.sql        | 2025-10-22 11:50:12.035346-04
          835 | 067_add_icon_emoji.sql               | 2025-10-22 12:16:24.370016-04
         1073 | 068_user_data_vault.sql              | 2025-10-22 12:40:00.092808-04
         1074 | 069_embed_system.sql                 | 2025-10-22 12:40:00.116488-04
         1075 | 069_user_brands.sql                  | 2025-10-22 12:40:00.121269-04
         1076 | 070_user_llm_usage.sql               | 2025-10-22 12:40:00.124697-04
         1077 | 071_ollama_streaming_sessions.sql    | 2025-10-22 12:40:00.127888-04
         1140 | 070_portfolio_system.sql             | 2025-10-22 13:41:23.620443-04
         1142 | 071_bucket_portfolio_integration.sql | 2025-10-22 13:41:23.626188-04
         1179 | 033_vanity_handles_tables.sql        | 2025-10-22 14:31:56.230544-04
         1210 | 072_communication_preferences.sql    | 2025-10-22 14:31:56.493463-04
         1211 | 075_intelligent_scheduling.sql       | 2025-10-22 14:31:56.498013-04
         1212 | 076_business_transcripts.sql         | 2025-10-22 14:31:56.501431-04
         1213 | 077_pos_terminal.sql                 | 2025-10-22 14:31:56.50326-04
         1214 | 078_crypto_payments.sql              | 2025-10-22 14:31:56.510734-04
         1215 | 079_marketplace.sql                  | 2025-10-22 14:31:56.513315-04
         1287 | 080_license_verification.sql         | 2025-10-22 14:54:06.708043-04
         1360 | 081_telemetry_system.sql             | 2025-10-22 16:33:27.741415-04
         1361 | 082_pricing_system.sql               | 2025-10-22 16:33:27.748908-04
         1362 | 083_seed_test_customer.sql           | 2025-10-22 16:33:27.75075-04
(139 rows)

